,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
191,2957032599.784372,0,0.0,0.0,1.8304883544696402
192,2958668061.651966,0,0.0,0.0,1.8310061838466303
193,2957032599.784372,0,0.0,0.0,1.8304883544696402
194,2957032599.784372,0,0.0,0.0,1.8304883544696402
195,2957032599.784372,0,0.0,0.0,1.8304883544696402
196,2341622764.728469,0,0.0,0.0,1.8304883544696402
197,2957032599.784372,0,0.0,0.0,1.8304883544696402
198,2957032599.784372,0,0.0,0.0,1.8304883544696402
199,2957032599.784372,0,0.0,0.0,1.8304883544696402
200,3271586140.665604,0,0.0,0.0,2.333802830605146
201,3275470968.035359,0,0.0,0.0,2.3358629016469536
202,3115916041.937326,0,0.0,0.0,2.093492183889727
203,3272807734.532367,0,0.0,0.0,2.3367176399087244
204,1981183172.3296342,0,0.0,0.0,2.837732594686862
205,3271586140.665604,0,0.0,0.0,2.333802830605146
206,3271586140.665604,0,0.0,0.0,2.333802830605146
207,3432438988.0826287,0,0.0,0.0,2.2165043944336817
208,3271586140.665604,0,0.0,0.0,2.333802830605146
209,3271586140.665604,0,0.0,0.0,2.333802830605146
210,3092893217.534799,0,0.0,0.0,2.0551782565862142
211,3271586140.665604,0,0.0,0.0,2.333802830605146
212,3271586140.665604,0,0.0,0.0,2.333802830605146
213,3271586140.665604,0,0.0,0.0,2.333802830605146
214,3271586140.665604,0,0.0,0.0,2.333802830605146
215,3271586140.665604,0,0.0,0.0,2.333802830605146
216,3271586140.665604,0,0.0,0.0,2.333802830605146
217,2590712251.2992797,0,0.0,0.0,2.333802830605146
218,3119821459.0543857,0,0.0,0.0,2.333802830605146
219,3271586140.665604,0,0.0,0.0,2.333802830605146
220,958993834.6356333,0,0.0,0.0,1.0113731706292728
221,946529855.01458,0,0.0,0.0,0.9837374814905779
222,946489108.2426739,0,0.0,0.0,0.9836413443434145
223,2445618303.6934423,0,0.0,0.0,2.07722363471607
224,946489507.1842091,0,0.0,0.0,0.9836422855983729
225,946489507.1842091,0,0.0,0.0,0.9836422855983729
226,890090885.2084472,0,0.0,0.0,1.605704871323911
227,946489507.1842091,0,0.0,0.0,0.9836422855983729
228,946489507.1842091,0,0.0,0.0,0.9836422855983729
229,1019645383.4271935,0,0.0,0.0,1.1366255775808385
230,946489507.1842091,0,0.0,0.0,0.9836422855983729
231,946489507.1842091,0,0.0,0.0,0.9836422855983729
232,946489507.1842091,0,0.0,0.0,0.9836422855983729
233,946489507.1842091,0,0.0,0.0,0.9836422855983729
234,946489507.1842091,0,0.0,0.0,0.9836422855983729
235,946489507.1842091,0,0.0,0.0,0.9836422855983729
236,1210718226.1653848,0,0.0,0.0,0.9836422855983729
237,1005385270.4599004,0,0.0,0.0,0.9836422855983729
238,946489507.1842091,0,0.0,0.0,0.9836422855983729
239,946489507.1842091,0,0.0,0.0,0.9836422855983729
